XC,YC,theta,idx,thres_rho
22,10,-0.568919789280717,1,1
22,11,-0.194268138167864,2,1
22,12,0.191435871953573,2,1
22,13,0.483062068846864,3,1
22,14,0.753246134387182,3,1
22,15,0.969771864213474,3,1
22,16,0.940121458215652,3,1
22,17,0.847877652850944,0,0
22,18,0.736367347781391,0,0
22,19,0.659780682569498,0,0
22,20,0.424639209592518,0,0
23,1,-0.101019147473654,0,0
23,2,-0.162837557390082,0,0
23,3,-0.20660738740793,0,0
23,4,-0.315203203888581,0,0
23,5,-0.503300334250671,0,0
23,6,-0.716407357328393,0,0
23,7,-0.880560585661634,1,1
23,8,-0.952974433510838,1,1
23,9,-0.943237353265166,1,1
23,10,-0.55593018709569,1,1
23,11,-0.15289899915444,2,1
23,12,0.445596241233273,3,1
23,13,0.70492394149656,3,1
23,14,0.951716741202451,3,1
23,15,0.969902746862241,3,1
23,16,0.936911643359341,3,1
23,17,0.84993627128958,0,0
23,18,0.743613498186117,0,0
23,19,0.67154616075761,0,0
23,20,0.431026933307951,0,0
24,1,-0.0605908013028351,0,0
24,2,-0.0998708060756251,0,0
24,3,-0.136898509154214,0,0
24,4,-0.238236594104083,0,0
24,5,-0.430488584123806,0,0
24,6,-0.663665748833395,0,0
24,7,-0.855257565712982,0,0
24,8,-0.948594303673876,1,1
24,9,-0.954267036498244,1,1
24,10,-0.546881501170726,1,1
24,11,0.0114843830793903,2,1
24,12,0.619209974292409,3,1
24,13,0.858028073929226,3,1
24,14,0.951218402441037,3,1
24,15,0.966354558102141,3,1
24,16,0.929331869099344,3,1
24,17,0.843785016791692,0,0
24,18,0.739237783378257,0,0
24,19,0.66982813062664,0,0
24,20,0.428687502925772,0,0
25,1,-0.0330448449183542,0,0
25,2,-0.0437638201455277,0,0
25,3,-0.0471364037877101,0,0
25,4,-0.126662109955722,0,0
25,5,-0.321155025167335,0,0
25,6,-0.591310264572912,0,0
25,7,-0.815452684320582,0,0
25,8,-0.93552276841422,1,1
25,9,-0.95645626512819,1,1
25,10,-0.403989318579321,1,1
25,11,0.147050366826658,2,1
25,12,0.758166925969208,3,1
25,13,0.8479869707733,3,1
25,14,0.946389535815471,3,1
25,15,0.956505463981926,3,1
25,16,0.910811978211578,3,1
25,17,0.817927750639512,0,0
25,18,0.70687870202971,0,0
25,19,0.633431200866593,0,0
25,20,0.402155152522932,0,0
26,1,-0.0163333950495734,0,0
26,2,-0.0198053662715006,0,0
26,3,-0.0196676660185024,0,0
26,4,-0.0741578836257009,0,0
26,5,-0.24516492048255,0,0
26,6,-0.514017460056952,0,0
26,7,-0.763756291196473,0,0
26,8,-0.913237126792999,1,1
26,9,-0.951197686390728,1,1
26,10,-0.399027883077532,1,1
26,11,0.143737442230417,2,1
26,12,0.75194324374984,3,1
26,13,0.83276645328518,3,1
26,14,0.930660564607627,3,1
26,15,0.92908907534216,3,1
26,16,0.863081459243503,0,0
26,17,0.750324759755693,0,0
26,18,0.623868467163885,0,0
26,19,0.538485652014306,0,0
26,20,0.334542758547024,0,0
27,1,-0.0163297089152959,0,0
27,2,-0.0176287027589081,0,0
27,3,-0.0134663398928568,0,0
27,4,-0.0497174812806303,0,0
27,5,-0.196673301504644,0,0
27,6,-0.455233903934025,0,0
27,7,-0.713826344464159,0,0
27,8,-0.88628936040467,1,1
27,9,-0.938937527411311,1,1
27,10,-0.395392589953309,1,1
27,11,0.132671856742271,2,1
27,12,0.718239081912025,3,1
27,13,0.602009394957384,3,1
27,14,0.525055590310719,3,1
27,15,0.388737106459481,3,1
27,16,0.457599069936116,0,0
27,17,0.469295092825485,0,0
27,18,0.441981648205197,0,0
27,19,0.361635234047827,0,0
27,20,0.219546399117681,0,0
28,1,-0.0135242085593957,0,0
28,2,-0.0290387965624604,0,0
28,3,-0.041051118353748,0,0
28,4,-0.0681308272973485,0,0
28,5,-0.123539547184581,0,0
28,6,-0.322057531806267,0,0
28,7,-0.579187564007874,0,0
28,8,-0.619823511837896,0,0
28,9,-0.520015343193215,1,1
28,10,-0.13174089178837,2,1
28,11,0.062667232582668,2,1
28,12,0.406486574333811,3,1
28,13,0.407444857815359,3,1
28,14,0.281601496167194,2,1
28,15,0.0404570387670577,2,1
28,16,0.0553590660278402,0,0
28,17,0.180342237509055,0,0
28,18,0.236482383576213,0,0
28,19,0.165385433457401,0,0
28,20,0.0833967549736324,0,0
29,1,-0.0123949822060076,0,0
29,2,-0.0291334040992628,0,0
29,3,-0.0525715823564892,0,0
29,4,-0.096435944519087,0,0
29,5,-0.0746278142706566,0,0
29,6,-0.140801795641419,0,0
29,7,-0.347290952286953,0,0
29,8,-0.28959791234902,0,0
29,9,-0.266252812689312,2,1
29,10,-0.00101458657476113,2,1
29,11,-0.0619544301745202,2,1
29,12,0.113051581038158,2,1
29,13,0.104569155528363,2,1
29,14,-0.0896612011323618,2,1
29,15,-0.284851195295765,0,0
29,16,-0.283463385733262,0,0
29,17,-0.0444928074108622,0,0
29,18,0.0466785433864235,0,0
29,19,0.04461299502446,0,0
29,20,-0.00195013133056382,0,0
30,1,-0.00335153529895309,0,0
30,2,-0.0155595863961571,0,0
30,3,-0.0343729318983381,0,0
30,4,-0.0685199117155664,0,0
30,5,-0.00803928074043151,0,0
30,6,-0.000593390575121642,0,0
30,7,-0.123343189339239,0,0
30,8,-0.00347900593305531,0,0
30,9,0.0410235841650645,2,1
30,10,0.130102106611289,2,1
30,11,-0.0993229528300667,2,1
30,12,-0.105733407399233,2,1
30,13,0.053017695085412,2,1
30,14,-0.000184340159490239,2,1
30,15,-0.0645427486151957,0,0
30,16,-0.183759751104875,0,0
30,17,-0.0395079092758348,0,0
30,18,-0.0116789100684917,0,0
30,19,0.00445565886589906,0,0
30,20,-0.0253058515609975,0,0
